src_id,direction,geom_points,os_speed
osgb4000000021615887,-1,"((-3.0843572949312712, 50.909266184633154), (-3.0843159242156712, 50.909211344737848))",37.5
osgb4000000025305818,-1,"((-3.4401563727366944, 50.689187006558015), (-3.4401991037538346, 50.689195471714513))",37.5
osgb4000000025305818,1,"((-3.4402049544484576, 50.688941772348983), (-3.4402476854655979, 50.68895023750548))",37.5
osgb4000000025351446,1,"((-3.4266723274115649, 50.683717502932893), (-3.4269297620659946, 50.6838042835846))",37.5
osgb4000000025351446,-1,"((-3.4265924682975735, 50.683954404857566), (-3.4268499029520032, 50.684041185509273))",37.5
osgb4000000025283096,-1,"((-3.4116083249946523, 50.680815535113034), (-3.4119567767664321, 50.68087089361773))",37.5
osgb4000000025283096,1,"((-3.4116475505395467, 50.680568631575944), (-3.4119960023113265, 50.68062399008064))",37.5
osgb4000000025345717,-1,"((-3.4262551857965255, 50.683838473030256), (-3.4265919057631056, 50.683954213365254))",37.5
osgb4000000025345717,1,"((-3.4263364512466867, 50.683602049836367), (-3.4266731712132668, 50.683717790171364))",37.5
osgb4000000025287966,-1,"((-3.4268510177277469, 50.684041554023977), (-3.4275695506151469, 50.684274411413476))",37.5
osgb4000000025287966,1,"((-3.4269280899023795, 50.683803730812542), (-3.4276466227897795, 50.684036588202041))",37.5
osgb4000000025336782,1,"((-3.4305989477135901, 50.72908642026357), (-3.4306382306146501, 50.729445666627875))",37.5
osgb4000000025336782,-1,"((-3.4303504290677234, 50.729113595300952), (-3.4303897119687834, 50.729472841665256))",37.5
osgb4000000025346473,1,"((-3.4306390498667949, 50.729457404018319), (-3.4306417886252349, 50.729547302516821))",37.5
osgb4000000025346473,-1,"((-3.4303891658006869, 50.729465016738288), (-3.4303919045591269, 50.72955491523679))",37.5
osgb4000000025346472,1,"((-3.4306420625008114, 50.729556292332703), (-3.4306467184246516, 50.729709119776501))",37.5
osgb4000000025346472,-1,"((-3.4303921784364255, 50.729563905109202), (-3.4303968343602658, 50.729716732553001))",37.5
osgb4000000025336868,1,"((-3.46030620134349, 50.747847372550126), (-3.4612390407590499, 50.747305083680423))",37.5
osgb4000000025336868,-1,"((-3.4604318461324732, 50.748063505349585), (-3.4613646855480331, 50.747521216479882))",37.5
osgb4000000025295642,-1,"((-3.4573918951803502, 50.749978197935029), (-3.4584059159144305, 50.749309013529327))",37.5
osgb4000000025295642,1,"((-3.4572541945585993, 50.749769539029707), (-3.4582682152926796, 50.749100354624005))",37.5
osgb4000000025321848,1,"((-3.4561984734619209, 50.750466213365527), (-3.4572541969923507, 50.749769537423632))",37.5
osgb4000000025321848,-1,"((-3.4563361700274196, 50.750674874947642), (-3.4573918935578494, 50.749978199005746))",37.5
osgb4000000025346534,1,"((-3.4559345392356451, 50.750640379861636), (-3.4561984750136752, 50.750466212341536))",37.5
osgb4000000025346534,-1,"((-3.4560722332148868, 50.750849043150403), (-3.4563361689929168, 50.750674875630303))",37.5
osgb5000005120387211,-1,"((-3.455506638940538, 50.751222264558336), (-3.4555107230792683, 50.751219569569038))",37.5
osgb5000005120387211,1,"((-3.4553689476876674, 50.751013599470497), (-3.4553730318263978, 50.751010904481198))",37.5
osgb4000000025295644,1,"((-3.4458118676919596, 50.754948542538095), (-3.4460322417767992, 50.754816226394894))",37.5
osgb4000000025295644,-1,"((-3.4459405571976771, 50.755162876415767), (-3.4461609312825168, 50.755030560272566))",37.5
osgb4000000025295646,-1,"((-3.4425108333546355, 50.757726197146276), (-3.4425778258353557, 50.757599463771278))",37.5
osgb4000000025295646,1,"((-3.4422898131066968, 50.757609363717833), (-3.442356805587417, 50.757482630342835))",37.5
osgb4000000025321850,1,"((-3.4419912584929504, 50.75857334050179), (-3.4420883330526806, 50.75804154216879))",37.5
osgb4000000025321850,-1,"((-3.4422371946591994, 50.758618233732136), (-3.4423342692189296, 50.758086435399136))",37.5
osgb4000000025295661,-1,"((-3.4426390354875531, 50.761039753507589), (-3.4426093058714633, 50.760995155477389))",37.5
osgb4000000025295661,1,"((-3.4424310177388202, 50.761178420793613), (-3.4424012881227304, 50.761133822763412))",37.5
osgb5000005106823351,1,"((-3.4255187330745422, 50.739813849027307), (-3.4246031069450722, 50.740272003477003))",37.5
osgb5000005106823351,-1,"((-3.4254068629943717, 50.739590275582636), (-3.4244912368649016, 50.740048430032331))",37.5
osgb4000000025306452,-1,"((-3.4232839203716292, 50.740613015315418), (-3.4228274022012193, 50.740851970695722))",37.5
osgb4000000025306452,1,"((-3.4233998561805059, 50.740834507726618), (-3.422943338010096, 50.741073463106922))",37.5
osgb4000000025321858,-1,"((-3.4438489587653005, 50.763981670304183), (-3.4437995168218403, 50.763757453254087))",37.5
osgb4000000025321858,1,"((-3.4436048237686494, 50.764035504339979), (-3.4435553818251892, 50.763811287289883))",37.5
osgb4000000025346541,1,"((-3.4436547358117844, 50.764300202182717), (-3.4436208515681144, 50.764120758364314))",37.5
osgb4000000025346541,-1,"((-3.4439003945083271, 50.764253814632525), (-3.4438665102646571, 50.764074370814122))",37.5
osgb4000000025321862,-1,"((-3.4440723393950461, 50.765193480027783), (-3.4440704017485761, 50.765130551838084))",37.5
osgb4000000025321862,1,"((-3.4438224578245564, 50.765201174228828), (-3.4438205201780865, 50.765138246039129))",37.5
osgb4000000025336874,-1,"((-3.4439739732033434, 50.764617876515935), (-3.4439001496542434, 50.764252561844934))",37.5
osgb4000000025336874,1,"((-3.4437289266420099, 50.764667396035101), (-3.4436551030929099, 50.7643020813641))",37.5
osgb4000000025352022,1,"((-3.4438282714348856, 50.765263954008091), (-3.4438231014829959, 50.765211183166294))",37.5
osgb4000000025352022,-1,"((-3.4440770802413097, 50.765239578244604), (-3.4440719102894199, 50.765186807402806))",37.5
osgb4000000025346542,-1,"((-3.4434421840406597, 50.766150836055161), (-3.4436767952869598, 50.765941088553561))",37.5
osgb4000000025346542,1,"((-3.4432755593830606, 50.765964459491506), (-3.4435101706293607, 50.765754711989906))",37.5
osgb4000000025306472,-1,"((-3.442987687527943, 50.766953275677146), (-3.443051395788753, 50.766709303032648))",37.5
osgb4000000025306472,1,"((-3.4427457985271861, 50.766890111515529), (-3.442809506787996, 50.766646138871032))",37.5
osgb4000000025352021,1,"((-3.4435179585471256, 50.765758185312023), (-3.4436099035306555, 50.765635639048121))",37.5
osgb4000000025352021,-1,"((-3.4437179309055996, 50.76590822216032), (-3.4438098758891296, 50.765785675896417))",37.5
osgb4000000025336879,1,"((-3.4436144774633464, 50.765629845441403), (-3.4436691707369267, 50.765563967705702))",37.5
osgb4000000025336879,-1,"((-3.4438068266006687, 50.765789538300893), (-3.443861519874249, 50.765723660565193))",37.5
osgb4000000025295662,-1,"((-3.4436379422264962, 50.763266261805299), (-3.4435459795369265, 50.763042571088))",37.5
osgb4000000025295662,1,"((-3.4434067198763549, 50.76336132086481), (-3.4433147571867853, 50.763137630147511))",37.5
osgb4000000025306480,-1,"((-3.441192177042693, 50.773910946982902), (-3.4411943402120828, 50.773299385704405))",37.5
osgb4000000025306480,1,"((-3.4409421786065861, 50.773910062706896), (-3.440944341775976, 50.7732985014284))",37.5
